TEST_ID|TIPO_PRUEBA|COMPONENTE|MODULO|REQUISITO_ID|DESCRIPCION|PRECONDICIONES|PASOS|RESULTADO_ESPERADO|PRIORIDAD|RIESGO|ETIQUETA_AUTOMATIZACION|ESTADO
TC_AUTH_001|Smoke|Auth|Login|REQ-AUTH-001|Validar login con email y password validos|Usuario no autenticado. Cuenta activa existente.|1. Navegar a /login 2. Ingresar email valido 3. Ingresar password valido 4. Click en Iniciar sesion|Usuario autenticado y redirigido a home|P0|Alto|@auth @smoke @desktop @ios @android|Generado
TC_AUTH_002|Unit|Auth|Login|REQ-AUTH-002|Validar formato de email en login|Usuario no autenticado.|1. Navegar a /login 2. Ingresar email invalido 3. Click en Iniciar sesion|Mensaje de error de formato de email|P1|Medio|@auth @unit @desktop @ios @android|Generado
TC_AUTH_003|Unit|Auth|Login|REQ-AUTH-003|Validar politica de password en login|Usuario no autenticado.|1. Navegar a /login 2. Ingresar email valido 3. Ingresar password debil 4. Click en Iniciar sesion|Mensaje de password no cumple politica|P1|Medio|@auth @unit @desktop @ios @android|Generado
TC_AUTH_004|E2E|Auth|PasswordReset|REQ-AUTH-004|Recuperacion de password via email|Usuario no autenticado. Email registrado.|1. Navegar a /login 2. Click en Olvide mi password 3. Ingresar email registrado 4. Confirmar|Se envia email de recuperacion y se muestra confirmacion|P1|Medio|@auth @e2e @desktop @ios @android|Generado
TC_AUTH_005|E2E|Auth|Register|REQ-AUTH-005|Registro de usuario nuevo|Usuario no autenticado. Email no registrado.|1. Navegar a /registro 2. Completar datos requeridos 3. Aceptar terminos 4. Enviar|Usuario creado y sesion iniciada|P1|Alto|@auth @e2e @desktop @ios @android|Generado
TC_AUTH_006|Integration|Auth|Register|REQ-AUTH-006|Validar email duplicado en registro|Usuario no autenticado. Email ya registrado.|1. Navegar a /registro 2. Completar datos con email existente 3. Enviar|Se muestra error de email ya registrado|P1|Medio|@auth @integration @desktop @ios @android|Generado
TC_AUTH_007|Integration|Auth|SocialLogin|REQ-AUTH-007|Login social con proveedor externo|Usuario no autenticado. Cuenta social activa.|1. Navegar a /login 2. Click en login Google 3. Completar flujo proveedor|Usuario autenticado via proveedor y redirigido|P1|Alto|@auth @integration @desktop @ios @android|Generado
TC_AUTH_008|Security|Auth|Login|REQ-AUTH-008|Validar CAPTCHA en login y registro|Usuario no autenticado.|1. Navegar a /login 2. Dejar CAPTCHA sin completar 3. Click Iniciar sesion|No se permite login y se muestra error de CAPTCHA|P1|Alto|@auth @security @desktop @ios @android|Generado
TC_AUTH_009|E2E|Auth|Logout|REQ-AUTH-009|Cerrar sesion correctamente|Usuario autenticado.|1. Click en perfil 2. Click en Cerrar sesion|Sesion finalizada y se vuelve a home|P1|Medio|@auth @e2e @desktop @ios @android|Generado
TC_AUTH_010|Recovery|Auth|Session|REQ-AUTH-010|Expiracion de sesion por timeout|Usuario autenticado. Inactividad configurada.|1. Iniciar sesion 2. Esperar timeout configurado 3. Navegar a pagina privada|Se solicita login nuevamente|P2|Medio|@auth @recovery @desktop @ios @android|Generado
TC_AUTH_011|Compatibility|Auth|Session|REQ-AUTH-011|Persistencia de sesion con remember me|Usuario no autenticado.|1. Navegar a /login 2. Marcar remember me 3. Iniciar sesion 4. Cerrar navegador 5. Reabrir|Sesion sigue activa|P2|Medio|@auth @compatibility @desktop @ios @android|Generado
TC_AUTH_012|Integration|Auth|Register|REQ-AUTH-012|Validar doble opt in por email|Usuario registrado con doble opt in.|1. Completar registro 2. Abrir email de confirmacion 3. Click en enlace|Cuenta activada correctamente|P2|Medio|@auth @integration @desktop @ios @android|Generado
TC_AUTH_013|Security|Auth|MFA|REQ-AUTH-013|Validar MFA al iniciar sesion|Usuario con MFA activo.|1. Iniciar sesion 2. Ingresar codigo MFA valido|Sesion iniciada tras validar MFA|P1|Alto|@auth @security @desktop @ios @android|Generado
TC_AUTH_014|Security|Auth|Login|REQ-AUTH-014|Bloqueo de cuenta por intentos fallidos|Usuario no autenticado.|1. Navegar a /login 2. Ingresar password incorrecto N veces|Cuenta bloqueada y se muestra mensaje|P1|Alto|@auth @security @desktop @ios @android|Generado
TC_AUTH_015|E2E|Auth|PasswordChange|REQ-AUTH-015|Cambio de password desde perfil|Usuario autenticado.|1. Navegar a Mi cuenta 2. Cambiar password 3. Guardar|Password actualizado y login con nuevo password funciona|P1|Medio|@auth @e2e @desktop @ios @android|Generado
