TEST_ID|TIPO_PRUEBA|COMPONENTE|MODULO|REQUISITO_ID|DESCRIPCION|PRECONDICIONES|PASOS|RESULTADO_ESPERADO|PRIORIDAD|RIESGO|ETIQUETA_AUTOMATIZACION|ESTADO
TC_CHECK_001|E2E|Checkout|Address|REQ-CHECK-001|Ingresar direccion de envio en checkout|Usuario con items en carrito.|1. Ir a checkout 2. Completar direccion envio 3. Guardar|Direccion guardada y se muestra resumen|P1|Alto|@check @e2e @desktop @ios @android|Generado
TC_CHECK_002|Unit|Checkout|Address|REQ-CHECK-002|Validar campos obligatorios de direccion|Usuario en checkout.|1. Dejar campos obligatorios vacios 2. Intentar continuar|Mensajes de validacion visibles|P1|Medio|@check @unit @desktop @ios @android|Generado
TC_CHECK_003|Interface|Checkout|Shipping|REQ-CHECK-003|Seleccionar metodo de envio|Usuario en checkout.|1. Ver opciones envio 2. Seleccionar opcion|Metodo de envio aplicado|P2|Medio|@check @interface @desktop @ios @android|Generado
TC_CHECK_004|Interface|Checkout|Payment|REQ-CHECK-004|Seleccionar forma de pago|Usuario en checkout.|1. Ver opciones pago 2. Seleccionar tarjeta|Metodo de pago seleccionado|P1|Alto|@check @interface @desktop @ios @android|Generado
TC_CHECK_005|Security|Checkout|Payment|REQ-CHECK-005|Datos de tarjeta se envian cifrados|Usuario en checkout.|1. Ingresar tarjeta 2. Enviar pago|Pago usa canal seguro|P0|Alto|@check @security @desktop @ios @android|Generado
TC_CHECK_006|Unit|Checkout|Payment|REQ-CHECK-006|Validar tarjeta con algoritmo Luhn|Usuario en checkout.|1. Ingresar tarjeta invalida 2. Intentar pagar|Se muestra error de tarjeta invalida|P1|Medio|@check @unit @desktop @ios @android|Generado
TC_CHECK_007|Integration|Checkout|Payment|REQ-CHECK-007|Flujo 3D Secure o SCA|Usuario en checkout.|1. Pagar con tarjeta que requiere 3DS 2. Completar challenge|Pago aprobado tras 3DS|P1|Alto|@check @integration @desktop @ios @android|Generado
TC_CHECK_008|Interface|Checkout|Review|REQ-CHECK-008|Revisar orden antes de confirmar|Usuario en checkout.|1. Ver resumen 2. Revisar items y totales|Resumen muestra items y totales correctos|P2|Medio|@check @interface @desktop @ios @android|Generado
TC_CHECK_009|E2E|Checkout|Order|REQ-CHECK-009|Crear orden despues del pago|Usuario en checkout con pago aprobado.|1. Confirmar compra|Orden creada con ID|P0|Alto|@check @e2e @desktop @ios @android|Generado
TC_CHECK_010|Integration|Checkout|Payment|REQ-CHECK-010|Confirmar pago registrado|Usuario con pago aprobado.|1. Finalizar checkout 2. Ver estado pago|Estado pago aprobado|P1|Medio|@check @integration @desktop @ios @android|Generado
TC_CHECK_011|Integration|Checkout|Notifications|REQ-CHECK-011|Email de confirmacion de compra|Usuario con compra exitosa.|1. Completar compra 2. Verificar email|Email de confirmacion recibido|P2|Medio|@check @integration @desktop @ios @android|Generado
TC_CHECK_012|Data Quality|Checkout|Invoice|REQ-CHECK-012|Generar invoice de compra|Usuario con compra exitosa.|1. Ir a detalle de orden 2. Descargar invoice|Invoice descargada|P2|Medio|@check @data @desktop @ios @android|Generado
TC_CHECK_013|Recovery|Checkout|Payment|REQ-CHECK-013|Manejo de pago rechazado|Usuario en checkout.|1. Usar tarjeta rechazada 2. Confirmar|Se muestra error y no se crea orden|P1|Alto|@check @recovery @desktop @ios @android|Generado
TC_CHECK_014|Recovery|Checkout|Session|REQ-CHECK-014|Timeout de sesion en checkout|Usuario en checkout.|1. Iniciar checkout 2. Esperar timeout 3. Continuar|Sesion expira y se solicita reiniciar|P2|Medio|@check @recovery @desktop @ios @android|Generado
TC_CHECK_015|Interface|Checkout|Tracking|REQ-CHECK-015|Tracking de orden disponible|Usuario con orden creada.|1. Abrir tracking de orden|Tracking visible|P2|Medio|@check @interface @desktop @ios @android|Generado
